id,content,timestamp,author_id,author_username,attachments,embed_1_url,embed_1_desc,embed_1_images,embed_2_url,embed_2_desc,embed_2_images
923433745904717864,https://twitter.com/EzekClub/status/1473868185216913408,2021-12-23T04:36:01.593000+00:00,300213441195671552,.0xdy,,https://twitter.com/EzekClub/status/1473868185216913408,"Hi Friends,😎We have reached to more than 20,000 members in Our Discord Channel. WE remind you that DO NOT OPEN ANY FAKE LINK BEFORE WE LAUNCH THE PROJECT ON OUR OFFICIAL WEBSITE https://t.co/p39hXonSJI . THIS IS THE ONLY PLACE YOU CAN MINT. 🏎 THE DATE WILL NOT BEFORE 2022/1/1.",,,,
924026025116045372,"We are a responsible team, we will work for you.<:Legend:922540874892730440>      

https://twitter.com/ezekclub/status/1473226954795270145?s=21",2021-12-24T19:49:31.961000+00:00,909553125315186718,ghuhu,,https://twitter.com/ezekclub/status/1473226954795270145?s=21,Anyone who can't join in our discord please comment here with your Discord ID. Thanks.🐻Our Team will work for you.,,,,
936147646228357130,"<@&921766382620774410> RT @crypto688: 选择了熊，
就像找到下一个特斯拉，
买入就拿着了。
直到变身马斯克🐻

#PhantaBear 
One day, bear will be the next Tesla, Jay Chou is just like Musk in Metaver… https://twitter.com/EzekClub/status/1486588911514128387",2022-01-27T06:36:31.643000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1486588911514128387,"选择了熊，
就像找到下一个特斯拉，
买入就拿着了。
直到变身马斯克🐻

#PhantaBear 
One day, bear will be the next Tesla, Jay Chou is just like Musk in Metaverse.",https://pbs.twimg.com/media/FKFcl61VkAAabqN.jpg:large,,,
936147691795275776,"<@&921766382620774410> RT @crypto688: @elonmusk 
#shib $shib
#PhantaBears

Army bears united.

We find the next Telsa in metaverse, it is called PhantaBear.

Jay… https://twitter.com/EzekClub/status/1486588952194674688",2022-01-27T06:36:42.507000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1486588952194674688,"@elonmusk 
#shib $shib
#PhantaBears

Army bears united.

We find the next Telsa in metaverse, it is called PhantaBear.

Jay Chou is one of the best-selling artists in the Greater China Area.

Let us rock the metaverse in NFT! 
🚀🚀🚀🌕🌕🌕",https://pbs.twimg.com/media/FKFhrEUUUAAA-5c.jpg:large,,,
936255938321612870,<@&921766382620774410> https://twitter.com/EzekClub/status/1486697170564648963,2022-01-27T13:46:50.490000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1486697170564648963,"收到法拉利的新年礼物！突然明白图一杰伦熊的意思，一熊一法拉利，相信熊弟熊妹都会开上法拉利！耐心持有
@EzekClub","https://pbs.twimg.com/media/FKFqewpUcAAKBms.jpg:large,https://pbs.twimg.com/media/FKFqewkVcAIReHd.jpg:large,https://pbs.twimg.com/media/FKFqewlVUAMEuI_.jpg:large",,,
936270390219649084,<@&921766382620774410> https://twitter.com/EzekClub/status/1486711614946484236,2022-01-27T14:44:16.091000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1486711614946484236,功成名就不是目的，让自己快乐快乐才有意义，希望熊熊帝国给大家带来满满的快乐🐻😊 #PHANTABEAR https://t.co/09kRonuVmP,,,,
936320245801582672,<@&921766382620774410> https://twitter.com/EzekClub/status/1486761490879111172,2022-01-27T18:02:22.588000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1486761490879111172,"🐻ONE #PHANTABEAR ONE VOTE🎟️
💰COMMON PROSPERITY💰
🐻一熊一票🎟️
💰共同富裕💰
 - FROM #PHANTABEAR COMMUNITY AMA🧸",,,,
936606023639269426,<@&921766382620774410> https://twitter.com/EzekClub/status/1487047263792730114,2022-01-28T12:57:57.334000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487047263792730114,🐻🦊🐻🦊🐻🦊🐻🦊 https://t.co/B5jyWknkLR,,,,
936611887951544370,<@&921766382620774410> https://twitter.com/EzekClub/status/1487053126716649475,2022-01-28T13:21:15.495000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487053126716649475,"🐻The “#PhancyPets” NFT Airdrop is available to claim on Ezek’s official website (https://t.co/v8EHDhkIwz)  with a small claim gas fee. You will have 21 days to claim, so there is enough time. Just pick a time when the gas fee is lower.Please visit our Discord for more details.🌹 https://t.co/3ywdOWgZ58",,,,
936625988111073312,<@&921766382620774410> https://twitter.com/EzekClub/status/1487067253463867400,2022-01-28T14:17:17.235000+00:00,936132473195200543,Ezek,,https://twitter.com/EzekClub/status/1487067253463867400,"👑Clarification:PhantaBear is not involved in Innocent Cats Project. Thanks!
👑声明：PhantaBear 和 Innocent Cats Project 没有任何关系，谢谢！",,,,
